id,estado,municipio,poblacion,indice_marginacion
0,Mexico,Municipio_0000000,1610573,-1.2445
1,Chiapas,Municipio_0000001,1905145,2.0022
2,Durango,Municipio_0000002,294080,0.6023
3,Puebla,Municipio_0000003,1383249,-1.8711
4,Zacatecas,Municipio_0000004,912293,1.3744
5,Coahuila,Municipio_0000005,1108279,1.0002
6,Baja California,Municipio_0000006,771058,-2.1306
7,Tlaxcala,Municipio_0000007,1165888,1.1491
8,Mexico,Municipio_0000008,1395864,0.7509
9,Hidalgo,Municipio_0000009,1347535,-0.4785
10,Yucatan,Municipio_0000010,1999215,0.2658
11,Chiapas,Municipio_0000011,258834,-2.4082
12,Sinaloa,Municipio_0000012,655507,1.9325
13,Quintana Roo,Municipio_0000013,1028462,0.6041
14,Nuevo Leon,Municipio_0000014,1315521,0.2408
15,Nayarit,Municipio_0000015,1221192,-0.4751
16,Coahuila,Municipio_0000016,983154,0.7614
17,Queretaro,Municipio_0000017,1166201,0.0116
18,Colima,Municipio_0000018,1790440,0.7144
19,Guerrero,Municipio_0000019,1278985,0.1279
20,Colima,Municipio_0000020,603793,-1.8627
21,Jalisco,Municipio_0000021,87984,-0.8135
22,Guerrero,Municipio_0000022,1967446,1.476
23,Mexico,Municipio_0000023,1310727,0.8692
24,Nuevo Leon,Municipio_0000024,1735960,0.557
25,San Luis Potosi,Municipio_0000025,1902861,1.045
26,Colima,Municipio_0000026,826600,1.9266
27,Colima,Municipio_0000027,1022995,-1.8126
28,Puebla,Municipio_0000028,37988,2.3143
29,Coahuila,Municipio_0000029,993762,0.6102
30,Quintana Roo,Municipio_0000030,1967392,0.463
31,Nuevo Leon,Municipio_0000031,1764909,0.7872
32,Yucatan,Municipio_0000032,904000,1.7201
33,Guerrero,Municipio_0000033,1289338,-1.0027
34,Quintana Roo,Municipio_0000034,421461,-2.4249
35,Guanajuato,Municipio_0000035,1978545,-0.486
36,Hidalgo,Municipio_0000036,867275,1.2924
37,Veracruz,Municipio_0000037,1183967,2.0225
38,Campeche,Municipio_0000038,1403361,-1.5791
39,Hidalgo,Municipio_0000039,226987,2.0354
40,Tlaxcala,Municipio_0000040,1627565,-0.8449
41,Chiapas,Municipio_0000041,1521233,-1.2716
42,Veracruz,Municipio_0000042,1343833,1.412
43,Quintana Roo,Municipio_0000043,711897,-2.0511
44,Coahuila,Municipio_0000044,35470,-0.5449
45,Durango,Municipio_0000045,1224406,-1.6201
